,campus,severity,rate_std,rate_max,violations,exposure,months_valid,route_count,weekday_share,am_share,pm_share,burstiness,risk_label
0,Baruch College,3.203091445510581,0.2932218283704699,3.532661368482264,27370.0,854487.0,7,5,0.8561198392400439,0.4409937888198758,0.08677383997077091,1.4698473282442748,high
1,Hunter College,2.789505000991698,0.35890695228298236,3.361570960510433,17721.0,635274.0,7,3,0.861520230235314,0.4337227018791265,0.06579764121663563,1.5502994011976046,high
2,Queens College,0.9360037017663864,0.2755041969312348,1.326797626506468,1861.0,198824.0,7,1,0.845781837721655,0.4540569586243955,0.09403546480386889,3.0928571428571394,low
3,Kingsborough Community College,0.3442679388186692,0.15582880068821425,0.6773270023043083,350.0,101665.0,7,1,0.6971428571428572,0.26,0.1457142857142857,3.0,low
4,LaGuardia Community College,0.19349284417433107,0.09383221467582396,0.341047503045067,227.0,117317.0,7,1,0.7973568281938326,0.3876651982378855,0.08370044052863436,5.0,low
5,John Jay College of Criminal Justice,0.0,0.0,0.0,0.0,197634.0,7,0,0.0,0.0,0.0,,low
6,Borough of Manhattan Community College,0.0,0.0,0.0,0.0,150310.0,7,0,0.0,0.0,0.0,,low
7,Queensborough Community College,0.0,0.0,0.0,0.0,122462.0,7,0,0.0,0.0,0.0,,low
8,College of Staten Island,0.0,0.0,0.0,0.0,18936.0,7,0,0.0,0.0,0.0,,low
9,CUNY Graduate School of Public Health and Health Policy,15.53542104808274,1.3621292914593124,16.19049919095805,43140.0,277688.0,7,3,0.7115901715345387,0.3528743625405656,0.1057487250811312,1.6075268817204296,medium
10,Lehman College,8.358542206856814,1.497710297200997,9.23142979819665,6963.0,83304.0,7,1,0.7983627746660922,0.30618986069223036,0.13916415338216287,2.089090909090909,medium
11,The City College of New York,8.063191224021924,1.3738427511515199,10.07800803719171,21595.0,267822.0,7,3,0.8012502894188469,0.3576290808057421,0.13878212549201205,1.5876288659793814,medium
12,Hostos Community College,4.704758540970974,0.3945231039507105,4.940327504857064,5861.0,124576.0,7,1,0.7896263436273674,0.4265483705852244,0.07746118409827675,1.6153846153846154,medium
13,Bronx Community College,2.723958467523768,0.362954731470312,3.1670452559846236,4229.0,155252.0,7,1,0.7590446914164105,0.3546937810357058,0.15795696382123434,1.6947368421052627,medium
14,New York City College of Technology (City Tech),2.5733421766370967,0.18214438226528515,2.6107513619076985,17382.0,675464.0,7,4,0.8972500287653895,0.5061557933494419,0.04452882292026234,1.5410714285714284,medium
15,Brooklyn College,2.241527721106497,0.46176728825550606,2.8882553183374178,16041.0,715628.0,7,2,0.7238950190137772,0.31594040271803503,0.07231469359765601,1.625714285714285,medium
16,York College,1.0704636278649284,0.06968565029338016,1.1608185202317232,15630.0,1460115.0,7,3,0.8206014075495841,0.345745361484325,0.10217530390275112,1.4985915492957744,medium
17,CUNY School of Professional Studies,1.0578110511449828,0.3761895185539443,1.4809916338582678,4951.0,468042.0,7,3,0.8598262977176327,0.34599070894768735,0.13270046455261564,2.5849999999999995,medium
18,CUNY Graduate Center,0.9691006206320916,0.2908505139620201,1.2773323252621316,7036.0,726034.0,7,5,0.8472143263217737,0.4199829448550313,0.09678794769755543,2.144827586206896,medium
19,Craig Newmark Graduate School of Journalism,0.9405175171916116,0.5709674573434615,1.7457233568686916,6673.0,709503.0,7,2,0.8107298066836506,0.31829761726359956,0.09441031020530496,4.457894736842104,medium
20,Guttman Community College,0.8661874179923189,0.5587818779345468,1.550079491255962,6509.0,751454.0,7,3,0.8024274082040252,0.33353817790751267,0.11461053925334153,3.973684210526316,medium
21,Medgar Evers College,0.6941444545937194,0.13557314350918534,0.8159326197578523,2105.0,303251.0,7,3,0.7524940617577197,0.23942992874109265,0.0831353919239905,2.5,medium
22,CUNY School of Labor and Urban Studies,0.6544918921737317,0.660457404738157,1.5283897983772443,5021.0,767160.0,7,3,0.7948615813582952,0.34096793467436765,0.08842859988050189,5.431034482758621,medium
23,CUNY School of Law,0.5563913608894102,0.09624234506123353,0.6446090419956677,2182.0,392170.0,7,2,0.7846012832263978,0.3446379468377635,0.0692025664527956,2.111111111111111,medium
24,Macaulay Honors College,0.0,0.0,0.0,0.0,498691.0,7,0,0.0,0.0,0.0,,medium
