,campus,month,trips_in_buffer,violations,viol_per_100_trips
0,Baruch College,2024-12-01,,5.0,
1,Baruch College,2025-01-01,131001.0,3493.0,2.666391859604125
2,Baruch College,2025-02-01,101032.0,2942.0,2.9119486895241113
3,Baruch College,2025-03-01,128032.0,3945.0,3.0812609347663082
4,Baruch College,2025-04-01,127454.0,4290.0,3.3659202535816846
5,Baruch College,2025-05-01,123816.0,4374.0,3.532661368482264
6,Baruch College,2025-06-01,118660.0,3829.0,3.226866677903253
7,Baruch College,2025-07-01,124492.0,3690.0,2.964045882466343
8,Baruch College,2025-08-01,,802.0,
9,Borough of Manhattan Community College,2025-01-01,22782.0,0.0,0.0
10,Borough of Manhattan Community College,2025-02-01,18661.0,0.0,0.0
11,Borough of Manhattan Community College,2025-03-01,22532.0,0.0,0.0
12,Borough of Manhattan Community College,2025-04-01,22276.0,0.0,0.0
13,Borough of Manhattan Community College,2025-05-01,21306.0,0.0,0.0
14,Borough of Manhattan Community College,2025-06-01,20801.0,0.0,0.0
15,Borough of Manhattan Community College,2025-07-01,21952.0,0.0,0.0
16,Bronx Community College,2025-01-01,23311.0,556.0,2.385140062631376
17,Bronx Community College,2025-02-01,18542.0,519.0,2.7990508035810593
18,Bronx Community College,2025-03-01,22892.0,725.0,3.1670452559846236
19,Bronx Community College,2025-04-01,22625.0,665.0,2.9392265193370166
20,Bronx Community College,2025-05-01,22976.0,674.0,2.9334958217270195
21,Bronx Community College,2025-06-01,22157.0,522.0,2.355914609378526
22,Bronx Community College,2025-07-01,22749.0,504.0,2.215481999208756
23,Bronx Community College,2025-08-01,,64.0,
24,Brooklyn College,2024-12-01,,2.0,
25,Brooklyn College,2025-01-01,104873.0,3029.0,2.8882553183374178
26,Brooklyn College,2025-02-01,92996.0,2347.0,2.523764462987655
27,Brooklyn College,2025-03-01,105621.0,2692.0,2.548735573418165
28,Brooklyn College,2025-04-01,103840.0,2035.0,1.9597457627118644
29,Brooklyn College,2025-05-01,103823.0,1988.0,1.9147972992496847
30,Brooklyn College,2025-06-01,100979.0,1863.0,1.8449380564275741
31,Brooklyn College,2025-07-01,103496.0,1696.0,1.6387106748086882
32,Brooklyn College,2025-08-01,,389.0,
33,College of Staten Island,2025-01-01,2873.0,0.0,0.0
34,College of Staten Island,2025-02-01,2709.0,0.0,0.0
35,College of Staten Island,2025-03-01,2895.0,0.0,0.0
36,College of Staten Island,2025-04-01,2860.0,0.0,0.0
37,College of Staten Island,2025-05-01,2502.0,0.0,0.0
38,College of Staten Island,2025-06-01,2450.0,0.0,0.0
39,College of Staten Island,2025-07-01,2647.0,0.0,0.0
40,Craig Newmark Graduate School of Journalism,2025-01-01,107476.0,473.0,0.44009825449402656
41,Craig Newmark Graduate School of Journalism,2025-02-01,82181.0,332.0,0.4039863228726835
42,Craig Newmark Graduate School of Journalism,2025-03-01,105876.0,377.0,0.3560769201707658
43,Craig Newmark Graduate School of Journalism,2025-04-01,105203.0,430.0,0.4087335912473979
44,Craig Newmark Graduate School of Journalism,2025-05-01,103566.0,640.0,0.6179634242898249
45,Craig Newmark Graduate School of Journalism,2025-06-01,99686.0,1426.0,1.4304917440763998
46,Craig Newmark Graduate School of Journalism,2025-07-01,105515.0,1842.0,1.7457233568686916
47,Craig Newmark Graduate School of Journalism,2025-08-01,,1153.0,
48,CUNY Graduate Center,2025-01-01,110332.0,695.0,0.629916977848675
49,CUNY Graduate Center,2025-02-01,86910.0,497.0,0.5718559429294673
50,CUNY Graduate Center,2025-03-01,107479.0,830.0,0.772243880199853
51,CUNY Graduate Center,2025-04-01,106074.0,732.0,0.6900842807851123
52,CUNY Graduate Center,2025-05-01,103185.0,1095.0,1.0612007559238261
53,CUNY Graduate Center,2025-06-01,100522.0,1284.0,1.2773323252621316
54,CUNY Graduate Center,2025-07-01,111532.0,1355.0,1.2148979665028872
55,CUNY Graduate Center,2025-08-01,,548.0,
56,CUNY Graduate School of Public Health and Health Policy,2024-12-01,,9.0,
57,CUNY Graduate School of Public Health and Health Policy,2025-01-01,42069.0,6016.0,14.300316147281846
58,CUNY Graduate School of Public Health and Health Policy,2025-02-01,31720.0,5000.0,15.762925598991172
59,CUNY Graduate School of Public Health and Health Policy,2025-03-01,41407.0,6704.0,16.19049919095805
60,CUNY Graduate School of Public Health and Health Policy,2025-04-01,41630.0,6718.0,16.137400912803265
61,CUNY Graduate School of Public Health and Health Policy,2025-05-01,40316.0,6187.0,15.346264510368092
62,CUNY Graduate School of Public Health and Health Policy,2025-06-01,38806.0,5680.0,14.63691181776014
63,CUNY Graduate School of Public Health and Health Policy,2025-07-01,41740.0,5148.0,12.333493052228079
64,CUNY Graduate School of Public Health and Health Policy,2025-08-01,,1678.0,
65,CUNY School of Labor and Urban Studies,2025-01-01,111840.0,38.0,0.033977110157367665
66,CUNY School of Labor and Urban Studies,2025-02-01,88401.0,28.0,0.031673849843327564
67,CUNY School of Labor and Urban Studies,2025-03-01,109988.0,178.0,0.16183583663672402
68,CUNY School of Labor and Urban Studies,2025-04-01,115503.0,37.0,0.0320337999878791
69,CUNY School of Labor and Urban Studies,2025-05-01,113223.0,528.0,0.4663363450888954
70,CUNY School of Labor and Urban Studies,2025-06-01,109518.0,1522.0,1.389725889808068
71,CUNY School of Labor and Urban Studies,2025-07-01,118687.0,1814.0,1.5283897983772443
72,CUNY School of Labor and Urban Studies,2025-08-01,,876.0,
73,CUNY School of Law,2025-01-01,57244.0,369.0,0.6446090419956677
74,CUNY School of Law,2025-02-01,50790.0,325.0,0.6398897420752117
75,CUNY School of Law,2025-03-01,59601.0,310.0,0.520125501249979
76,CUNY School of Law,2025-04-01,55610.0,309.0,0.5556554576515015
77,CUNY School of Law,2025-05-01,55997.0,260.0,0.46431058806721787
78,CUNY School of Law,2025-06-01,55383.0,329.0,0.5940451040933138
79,CUNY School of Law,2025-07-01,57545.0,219.0,0.38057172647493265
80,CUNY School of Law,2025-08-01,,61.0,
81,CUNY School of Professional Studies,2025-01-01,71053.0,504.0,0.7093296553277131
